,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Obyvatelstvo - věk: 85 a více  - celkem,-0.0009452899200011811,0.002361163960405184,-0.0760692621291,0.3950697093027738,0.5159457567954885,-0.007502885940699831,0.013777844523983326,0.005208758264561684,0.05342479617462868,-0.019859889323183423,-0.08284962329364107,-0.07069625907908045,0.03426491134632737,-0.005462453955812684,0.018134542436318058,-0.10267319592646987,0.10125780886961963,0.008789551809039382
Obyvatelstvo - věk: 0 - 6  - celkem,-0.019387705578218034,0.0064718104767127116,0.1992825921733051,-0.3703895696599599,-0.016276568524156234,0.01133234437428364,0.03927287250590073,0.013764201072580579,-0.11415696079064647,0.0031358426906847067,0.01680798618310918,-0.10151146945764795,0.00974300416322006,-0.011381882149083792,0.010850014700995067,-0.16916816920829936,0.17094829013221124,-0.423982567992737
Obyvatelstvo - věk: 7 - 14  - celkem,-0.046685877434485545,0.012131214321918667,0.1275687595914898,-0.34515059882516413,-0.04675333324069259,-0.001345887455806746,0.08955006799271184,-0.03571020918173959,-0.18197959603966543,0.01499744649313289,0.11581254023249239,-0.10373529466205106,0.011118599883217797,0.004975139625645831,-0.0067516880988350274,-0.12929667077962667,0.4370885458593397,0.04578608700082098
Obyvatelstvo - věk: 15 - 24  - celkem,-0.04037344014410295,-0.02596151537196087,0.20218119617902047,-0.24758293441825166,-0.0004746650832415384,-0.043662015416507695,-0.03524541068766392,-0.018578696189292386,0.04362860486893865,-0.03644394683399709,0.07133290179697906,0.08301669207720218,-0.0041117517832395855,0.00959996032981655,-0.015317730590538396,0.10647347389831538,-0.10217137133915843,0.5396399049943017
Obyvatelstvo - věk: 25 - 34  - celkem,-0.05022941227381515,-0.003762268292155378,0.3628948564499157,-0.19044227056357454,-0.05928224468993432,-0.01981586401147659,-0.04074431845535703,0.020106617299861778,0.2565661465651141,-0.029827478734365125,-0.17750693811196494,0.23936830795553438,-0.014503823412777225,-0.021794522619739895,0.004634205336509938,-0.04366195577265983,-0.24094095599627666,-0.2778755870004592
Obyvatelstvo - věk: 35 - 44  - celkem,-0.029982963170933956,-0.003741180363765925,0.20585302506956843,-0.26184948278165676,-0.15516541561770603,-0.014327117057889324,0.06381913281795698,0.014294291206358719,0.05764543517412587,0.03531987073086549,0.05135895648842659,0.06585367309962105,0.04800159416890204,-0.008035888596551626,-0.0010909032242710016,-0.1312381726810372,0.3767859505492079,-0.19419819176085032
Obyvatelstvo - věk: 45 - 54  - celkem,0.03925425366115964,-0.031093726495832384,-0.04997535658240453,0.0515317459092131,-0.2240649303923997,0.008491517949222866,-0.002187152592586021,0.006441112714320846,-0.028177607523233988,0.007344115149197494,0.09631772501151961,0.20697029707408232,-0.034016954762394865,0.0249984528348586,-0.019061058727677962,0.07461525895651278,-0.081342447861474,0.46568597966072306
Obyvatelstvo - věk: 55 - 64  - celkem,0.06108378432625233,0.003198336315976578,-0.2514833024202518,0.2358109543919791,-0.11201218353876499,0.030413915276985105,-0.08632906012118477,0.0074085243355312995,-0.02093159288282961,-0.011577438970222608,-0.0044367105572539105,0.04699912613953564,-0.03669097326247923,0.0331504573364859,0.00045969482790088914,0.13634416448162595,-0.11769339055009227,-0.09126597145585941
Obyvatelstvo - věk: 65 - 74  - celkem,0.052901801805644987,0.025964360408391486,-0.37989891521883895,0.35218373368797795,0.039379551833724616,0.027800078771825554,0.007393725479366251,-0.029967881169853508,-0.08540323069358827,0.05505139739261032,-0.0048184392008101505,-0.28143136860291373,0.0005512440176773686,-0.020193503707468047,-0.0020909163291881194,0.14517398562876668,-0.19000068167744,-0.03273617666511986
Obyvatelstvo - věk: 75 - 84  - celkem,0.004381567525110662,0.013249698760159852,-0.256128760857815,0.3854431044992459,0.36258092235904255,-0.006815012181926232,-0.020467371365848277,0.02138841198360986,-0.0007775908306529185,-0.04517164338351482,-0.09405334650580616,-0.1386437343922448,0.011859897619381003,-0.00793525830203454,0.022160143353154305,-0.017818498471970944,-0.17877621644642547,-0.02916676135296371
Obyvatelstvo - ekon. aktivita: zaměstnaní - celkem,0.984609374967689,-0.01767329489613622,0.010962694275544844,-0.005875601996405611,0.0040335643723812264,0.00740900831967868,0.04017627970971423,0.1135659120564753,0.0009533903777767653,-0.00010305029858281853,-0.002826976575701966,0.009123919002040706,0.023584478202064774,-0.018163700885340292,0.11043772633049927,0.007827211706792915,0.00107912030987424,-0.00037222141423727745
Obyvatelstvo - ekon. aktivita: pracující žáci a studenti - celkem,0.9202498940944817,0.01448846804480378,0.021297192864184036,-0.008621022681366186,0.008646549732098585,0.006249083512759941,0.05842047447653498,0.17449654621196864,0.009938365722996079,-0.002991751934763017,-0.01189151165613415,0.023626695875321266,0.051643751219717746,-0.03575163469229957,0.22190388909259706,0.0037637362104823886,-0.00203276315668513,0.01344971964040674
Obyvatelstvo - ekon. aktivita: pracující důchodci - celkem,0.9701598153895644,-0.02625928348532108,0.008565564189624343,-0.0016249993761534684,0.009101577232872688,0.0034073578522901783,0.024265410669934616,0.05075062935379393,-0.00041053213341525906,0.0027879520943080494,-0.005800051313961555,0.008772289630363046,0.026280268211267138,-0.02290478308708006,0.14290094898669542,0.008691617126395098,-0.0006173571254066455,0.0024373784732438773
