label,bandwidth,best_max_features,best_n_estimators,best_score
1,70000,4,200,0.7068251534957208
8,70000,5,200,0.8450799098882548
3,85000,4,200,0.7453000677693833
4,40000,4,200,0.6108262854055679
7,40000,4,200,0.7230344684606324
6,25000,5,200,0.5654014392549739
5,25000,4,200,0.6215236328291023
