label,bandwidth,best_max_features,best_n_estimators,best_score
1,70000,4,200,0.7116342548269236
8,70000,4,200,0.8340870595732549
3,85000,4,200,0.7440591978112999
4,40000,4,200,0.6169241237316283
7,40000,4,200,0.7193227589252206
6,25000,6,200,0.5215182728940313
5,25000,6,200,0.6370404727674562
