,aic
100,41.62954308411455
300,41.38469064314288
500,41.388689179524896
700,41.50977462015537
900,inf
1100,inf
1300,inf
1500,inf
1700,inf
1900,inf
2100,inf
2300,inf
2500,inf
2700,inf
2900,inf
3100,inf
3300,inf
3500,inf
