,aic
100,59.43087068318655
300,59.32695051312304
500,59.289804716440436
700,59.26913188600676
900,59.21698565667363
1100,59.219682006786755
1300,59.17839725785583
1500,59.186169680773865
1700,59.21153170422985
1900,59.221474839658875
2100,59.09672256345133
2300,59.07903561770204
2500,59.073538890359025
2700,59.08729491460014
2900,59.08790474007024
3100,59.11902100218321
3300,59.12150872790106
3500,59.1267601405234
