,aic
100,71.79872130127026
300,71.9125943776742
500,71.71195014112347
700,71.60652503043235
900,71.56637515939597
1100,71.52810198001293
1300,71.49997351162419
1500,71.46712270104007
1700,71.4954833378184
1900,71.47655419570106
2100,71.48071501073882
2300,71.49761042111014
2500,71.4875882671149
2700,71.48804233858195
2900,71.49785268983761
3100,71.51401362801049
3300,71.4764360066487
3500,71.40110227743844
