kod_nadzsj_d,Obydlené byty celkem,Obydlené byty - období výstavby nebo rekonstrukce domu: 1919 a dříve,Obydlené byty - období výstavby nebo rekonstrukce domu: 1920 - 1945,Obydlené byty - období výstavby nebo rekonstrukce domu: 1946 - 1970,Obydlené byty - období výstavby nebo rekonstrukce domu: 1971 - 1980,Obydlené byty - období výstavby nebo rekonstrukce domu: 1981 - 1990,Obydlené byty - období výstavby nebo rekonstrukce domu: 1991 - 2000,Obydlené byty - období výstavby nebo rekonstrukce domu: 2001 - 2010,Obydlené byty - období výstavby nebo rekonstrukce domu: 2011 - 2015,Obydlené byty - období výstavby nebo rekonstrukce domu: 2016 a později,Obydlené byty - období výstavby nebo rekonstrukce domu: nezjištěno,Obydlené byty  v rodinných domech,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 1919 a dříve,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 1920 - 1945,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 1946 - 1970,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 1971 - 1980,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 1981 - 1990,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 1991 - 2000,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 2001 - 2010,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 2011 - 2015,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: 2016 a později,Obydlené byty v rodinných domech - období výstavby nebo rekonstrukce domu: nezjištěno,Obydlené byty  v bytových domech,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 1919 a dříve,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 1920 - 1945,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 1946 - 1970,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 1971 - 1980,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 1981 - 1990,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 1991 - 2000,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 2001 - 2010,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 2011 - 2015,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: 2016 a později,Obydlené byty v bytových domech - období výstavby nebo rekonstrukce domu: nezjištěno,Obydlené byty v ostatních budovách,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 1919 a dříve,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 1920 - 1945,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 1946 - 1970,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 1971 - 1980,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 1981 - 1990,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 1991 - 2000,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 2001 - 2010,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 2011 - 2015,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: 2016 a později,Obydlené byty v ostatních budovách - období výstavby nebo rekonstrukce domu: nezjištěno
1270600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1271590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3182640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50005401,538,482,32,1,0,9,9,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,518,469,31,0,0,9,9,0,0,0,0,19,13,0,1,0,0,0,3,0,0,2
50005402,1120,749,279,18,0,0,43,0,4,0,27,13,8,0,0,0,0,2,0,0,0,3,1061,723,257,18,0,0,41,0,4,0,18,46,18,22,0,0,0,0,0,0,0,6
50005403,1072,508,402,49,28,0,25,0,19,0,41,12,5,2,0,0,0,0,0,0,0,5,998,481,397,44,27,0,24,0,0,0,25,62,22,3,5,1,0,1,0,19,0,11
50005404,1549,1015,320,39,1,1,65,28,0,0,80,59,37,0,0,1,1,1,0,0,0,19,1429,960,310,39,0,0,57,27,0,0,36,61,18,10,0,0,0,7,1,0,0,25
50005405,1282,870,225,10,0,19,57,40,0,2,59,18,9,3,0,0,0,3,0,0,0,3,1226,847,221,10,0,16,41,35,0,2,54,38,14,1,0,0,3,13,5,0,0,2
50005407,1740,726,788,30,2,0,47,28,74,2,43,15,15,0,0,0,0,0,0,0,0,0,1640,694,782,30,0,0,39,27,34,2,32,85,17,6,0,2,0,8,1,40,0,11
50005408,2336,1334,677,12,0,4,67,38,10,0,194,13,7,0,0,0,0,0,1,3,0,2,2232,1297,663,12,0,4,64,20,6,0,166,91,30,14,0,0,0,3,17,1,0,26
50005409,900,526,248,1,12,0,22,26,3,8,54,11,7,0,0,0,0,1,0,0,0,3,813,488,231,0,12,0,17,19,0,3,43,76,31,17,1,0,0,4,7,3,5,8
50005411,744,491,81,41,10,0,79,19,0,0,23,55,25,3,3,4,0,6,3,0,0,11,655,454,77,38,6,0,72,8,0,0,0,34,12,1,0,0,0,1,8,0,0,12
50005412,1160,792,150,3,3,27,48,29,0,0,108,46,30,6,0,3,0,0,3,0,0,4,1083,745,142,3,0,27,48,22,0,0,96,31,17,2,0,0,0,0,4,0,0,8
50005413,14,1,0,1,0,0,1,0,0,0,11,2,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,9,3,1,0,0,0,0,1,0,0,0,1
50005414,55,47,1,1,0,0,0,0,0,0,6,14,13,0,1,0,0,0,0,0,0,0,25,24,1,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,6
50005416,273,233,0,1,10,3,7,0,0,0,19,53,33,0,1,3,3,2,0,0,0,11,207,190,0,0,7,0,5,0,0,0,5,13,10,0,0,0,0,0,0,0,0,3
1318060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1324710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3174620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3183960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50022401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50022402,1142,300,417,0,17,0,26,372,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1141,300,417,0,17,0,26,372,0,9,0,1,0,0,0,0,0,0,0,0,0,1
50022404,485,53,354,3,5,1,7,47,8,4,3,167,15,125,0,5,1,6,6,6,3,0,317,38,229,3,0,0,1,41,2,1,2,1,0,0,0,0,0,0,0,0,0,1
50022405,299,242,20,0,0,0,7,16,8,0,6,0,0,0,0,0,0,0,0,0,0,0,296,239,20,0,0,0,7,16,8,0,6,3,3,0,0,0,0,0,0,0,0,0
50022406,510,0,211,260,34,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,507,0,210,259,34,0,4,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0
50022407,164,0,0,0,0,0,6,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,158,0,6,0,0,0,0,0,6,0,0,0,0
50022408,3313,679,1698,269,0,145,110,258,65,87,2,20,9,1,0,0,0,4,4,1,1,0,3206,669,1620,269,0,145,106,251,64,80,2,87,1,77,0,0,0,0,3,0,6,0
50022409,35,0,7,1,0,0,25,2,0,0,0,9,0,7,0,0,0,0,2,0,0,0,25,0,0,0,0,0,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
50022410,149,2,68,17,14,2,6,9,21,9,1,106,2,59,2,14,2,6,7,4,9,1,42,0,9,15,0,0,0,2,16,0,0,1,0,0,0,0,0,0,0,1,0,0
50022411,2409,209,956,918,0,104,0,83,113,26,0,10,0,10,0,0,0,0,0,0,0,0,2395,209,946,914,0,104,0,83,113,26,0,4,0,0,4,0,0,0,0,0,0,0
50022413,2855,0,335,2307,0,0,82,3,128,0,0,3,0,0,0,0,0,3,0,0,0,0,2851,0,335,2306,0,0,79,3,128,0,0,1,0,0,1,0,0,0,0,0,0,0
50022414,999,0,0,1,557,0,0,1,438,0,2,1,0,0,1,0,0,0,0,0,0,0,995,0,0,0,557,0,0,0,438,0,0,3,0,0,0,0,0,0,1,0,0,2
50022415,2208,558,879,598,0,0,49,35,0,89,0,0,0,0,0,0,0,0,0,0,0,0,2205,557,878,597,0,0,49,35,0,89,0,3,1,1,1,0,0,0,0,0,0,0
50022416,2850,62,1500,606,18,66,135,153,45,250,15,9,4,0,0,0,0,0,2,0,0,3,2814,58,1496,606,18,66,133,130,45,250,12,27,0,4,0,0,0,2,21,0,0,0
50022417,1231,0,156,843,0,203,12,12,3,0,2,2,0,0,2,0,0,0,0,0,0,0,1225,0,156,839,0,203,12,12,3,0,0,4,0,0,2,0,0,0,0,0,0,2
50022418,1628,809,431,4,0,0,132,158,37,54,3,14,6,2,0,0,0,1,0,0,2,3,1596,790,429,4,0,0,128,158,35,52,0,18,13,0,0,0,0,3,0,2,0,0
50022419,2069,927,801,102,0,0,41,95,50,53,0,0,0,0,0,0,0,0,0,0,0,0,2069,927,801,102,0,0,41,95,50,53,0,0,0,0,0,0,0,0,0,0,0,0
50022421,13,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,7,0,0,1,0,0,0,0,0,0,6
50022422,1387,0,202,447,579,13,18,77,12,26,13,208,0,130,16,18,13,11,6,7,7,0,1156,0,65,430,561,0,7,63,5,14,11,23,0,7,1,0,0,0,8,0,5,2
50022424,30,5,19,1,0,0,0,2,0,3,0,13,5,4,0,0,0,0,2,0,2,0,16,0,15,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
50022425,100,0,5,5,2,0,10,33,17,13,15,96,0,5,5,2,0,6,33,17,13,15,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50022426,689,0,0,0,0,0,174,478,0,0,37,0,0,0,0,0,0,0,0,0,0,0,689,0,0,0,0,0,174,478,0,0,37,0,0,0,0,0,0,0,0,0,0,0
50022427,2311,6,378,1137,74,436,86,152,34,5,3,33,2,23,0,0,0,3,2,0,1,2,2268,4,349,1137,74,436,83,148,33,4,0,10,0,6,0,0,0,0,2,1,0,1
50022428,1444,0,37,888,40,94,176,128,26,55,0,43,0,19,4,5,5,2,2,5,1,0,1395,0,18,882,31,89,174,126,21,54,0,6,0,0,2,4,0,0,0,0,0,0
50022429,797,0,74,632,70,0,0,0,21,0,0,2,0,0,2,0,0,0,0,0,0,0,795,0,74,630,70,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
50022430,1755,0,53,1654,0,0,1,35,4,0,8,577,0,1,571,0,0,1,3,1,0,0,1172,0,52,1077,0,0,0,32,3,0,8,6,0,0,6,0,0,0,0,0,0,0
50022431,544,0,0,408,47,84,4,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,537,0,0,404,45,84,4,0,0,0,0,5,0,0,3,1,0,0,1,0,0,0
50022432,2330,108,1695,306,53,4,6,29,44,83,2,82,22,37,1,2,4,1,6,7,1,1,2239,86,1655,301,51,0,4,23,37,82,0,9,0,3,4,0,0,1,0,0,0,1
50022433,1228,2,384,722,20,9,12,7,64,7,1,167,2,117,12,8,6,6,7,6,2,1,1057,0,264,710,12,3,5,0,58,5,0,4,0,3,0,0,0,1,0,0,0,0
50022434,2549,112,1033,616,190,112,54,222,38,167,5,180,28,103,4,0,3,6,13,9,10,4,2366,84,930,612,190,109,48,207,29,157,0,3,0,0,0,0,0,0,2,0,0,1
50022436,552,10,48,354,2,2,7,57,50,16,6,142,6,34,81,0,2,2,7,4,3,3,405,4,13,273,1,0,5,47,46,13,3,5,0,1,0,1,0,0,3,0,0,0
50022437,2031,0,317,726,816,57,25,22,17,36,15,343,0,228,29,18,19,13,11,10,9,6,1669,0,89,696,794,34,10,10,1,26,9,19,0,0,1,4,4,2,1,6,1,0
50022438,920,35,435,57,190,45,21,47,29,47,14,409,34,220,34,30,22,16,19,12,13,9,509,1,215,23,159,23,5,28,17,34,4,2,0,0,0,1,0,0,0,0,0,1
50022439,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0
50022440,4081,0,0,3214,245,55,0,91,476,0,0,6,0,0,3,0,0,0,3,0,0,0,3968,0,0,3205,144,55,0,88,476,0,0,107,0,0,6,101,0,0,0,0,0,0
50022441,251,0,0,0,0,0,1,248,0,0,2,1,0,0,0,0,0,1,0,0,0,0,246,0,0,0,0,0,0,246,0,0,0,4,0,0,0,0,0,0,2,0,0,2
50022442,1238,56,119,55,155,213,32,398,96,105,9,351,44,99,46,22,25,31,37,18,23,6,876,11,20,8,132,188,0,360,75,82,0,11,1,0,1,1,0,1,1,3,0,3
50022443,6,0,0,0,1,0,0,5,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
50022444,1094,0,0,0,0,0,0,1059,17,18,0,2,0,0,0,0,0,0,2,0,0,0,1071,0,0,0,0,0,0,1036,17,18,0,21,0,0,0,0,0,0,21,0,0,0
50022445,2392,0,10,2236,75,0,0,0,0,68,3,1,0,0,0,0,0,0,0,0,0,1,2380,0,10,2227,75,0,0,0,0,68,0,11,0,0,9,0,0,0,0,0,0,2
50022446,23,2,0,0,0,1,0,18,0,0,2,22,1,0,0,0,1,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
50022447,2217,2,592,1340,112,13,30,84,9,21,14,709,2,522,39,19,12,26,48,9,18,14,1505,0,69,1300,93,0,4,36,0,3,0,3,0,1,1,0,1,0,0,0,0,0
50022448,2806,81,359,340,569,102,148,1012,38,43,114,311,47,83,30,16,13,44,35,18,16,9,2457,33,275,310,553,86,104,974,19,27,76,38,1,1,0,0,3,0,3,1,0,29
50022449,53,8,21,3,0,0,3,8,1,5,4,51,8,19,3,0,0,3,8,1,5,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50022450,1069,13,2,0,45,695,70,34,205,2,3,19,3,2,0,1,0,1,4,3,2,3,1046,9,0,0,44,694,69,28,202,0,0,4,1,0,0,0,1,0,2,0,0,0
50022451,1778,0,12,1406,297,0,0,61,2,0,0,20,0,12,3,3,0,0,0,2,0,0,1757,0,0,1403,293,0,0,61,0,0,0,1,0,0,0,1,0,0,0,0,0,0
50022452,352,0,117,0,38,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,117,0,0,0,0,196,0,0,0,39,0,0,0,38,0,0,1,0,0,0
50022453,956,12,154,80,231,107,14,191,115,45,7,118,0,33,17,14,3,14,17,6,8,6,827,12,121,63,217,104,0,165,109,36,0,11,0,0,0,0,0,0,9,0,1,1
50022454,18,0,1,0,0,0,0,12,1,0,4,15,0,1,0,0,0,0,9,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0
50022455,78,0,41,1,1,1,1,19,0,0,14,59,0,41,1,1,1,1,6,0,0,8,16,0,0,0,0,0,0,12,0,0,4,3,0,0,0,0,0,0,1,0,0,2
1282440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3157700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54703402,1260,2,16,2,0,385,154,542,106,25,28,26,2,16,2,0,0,2,4,0,0,0,1225,0,0,0,0,384,147,536,106,25,27,9,0,0,0,0,1,5,2,0,0,1
54703403,525,0,1,0,0,368,0,0,0,156,0,1,0,1,0,0,0,0,0,0,0,0,475,0,0,0,0,319,0,0,0,156,0,49,0,0,0,0,49,0,0,0,0,0
54703404,2568,0,0,24,2149,326,0,67,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2561,0,0,24,2144,326,0,67,0,0,0,7,0,0,0,5,0,0,0,0,0,2
54703405,749,2,244,133,147,60,64,49,20,17,13,676,2,207,128,130,59,64,49,12,12,13,72,0,37,5,17,0,0,0,8,5,0,1,0,0,0,0,1,0,0,0,0,0
54703407,3699,0,0,0,3523,134,0,9,0,30,3,1,0,0,0,1,0,0,0,0,0,0,3690,0,0,0,3520,131,0,9,0,30,0,8,0,0,0,2,3,0,0,0,0,3
54703408,2396,0,0,48,2201,0,0,55,0,0,92,0,0,0,0,0,0,0,0,0,0,0,2391,0,0,48,2197,0,0,55,0,0,91,5,0,0,0,4,0,0,0,0,0,1
54703409,2765,0,0,0,283,2182,68,62,0,0,170,1,0,0,0,0,0,0,1,0,0,0,2757,0,0,0,283,2176,68,61,0,0,169,7,0,0,0,0,6,0,0,0,0,1
54703410,2646,0,0,0,43,2435,0,10,0,0,158,0,0,0,0,0,0,0,0,0,0,0,2640,0,0,0,43,2431,0,10,0,0,156,6,0,0,0,0,4,0,0,0,0,2
54703411,55,0,39,0,0,0,12,4,0,0,0,37,0,30,0,0,0,3,4,0,0,0,18,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54703412,3,0,0,0,2,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
54703413,3049,0,16,23,1399,1453,1,109,0,17,31,24,0,12,5,0,4,1,0,0,2,0,3013,0,4,18,1399,1446,0,107,0,15,24,12,0,0,0,0,3,0,2,0,0,7
54703414,1395,0,0,0,0,748,437,81,0,0,129,100,0,0,0,0,1,84,7,0,0,8,1238,0,0,0,0,696,349,74,0,0,119,57,0,0,0,0,51,4,0,0,0,2
54703415,2117,0,0,35,1885,48,0,83,0,0,66,3,0,0,0,3,0,0,0,0,0,0,2107,0,0,35,1878,48,0,80,0,0,66,7,0,0,0,4,0,0,3,0,0,0
54703417,631,0,143,67,127,118,64,45,32,20,15,448,0,131,62,62,58,63,39,17,8,8,179,0,11,5,65,60,0,6,15,11,6,4,0,1,0,0,0,1,0,0,1,1
54703418,2433,0,0,0,2200,131,0,36,47,0,19,0,0,0,0,0,0,0,0,0,0,0,2429,0,0,0,2196,131,0,36,47,0,19,4,0,0,0,4,0,0,0,0,0,0
54703419,836,0,0,0,0,0,0,143,587,106,0,0,0,0,0,0,0,0,0,0,0,0,836,0,0,0,0,0,0,143,587,106,0,0,0,0,0,0,0,0,0,0,0,0
54703420,2463,0,0,0,1995,361,0,21,0,0,86,1,0,0,0,1,0,0,0,0,0,0,2455,0,0,0,1992,359,0,19,0,0,85,7,0,0,0,2,2,0,2,0,0,1
54703421,2993,2,41,32,1735,1010,78,33,36,7,19,428,2,41,30,81,148,66,33,10,2,15,2558,0,0,2,1654,860,11,0,26,5,0,7,0,0,0,0,2,1,0,0,0,4
54703422,1597,0,0,0,1450,59,0,80,0,8,0,40,0,0,0,20,12,0,0,0,8,0,1555,0,0,0,1428,47,0,80,0,0,0,2,0,0,0,2,0,0,0,0,0,0
1284490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1284730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1285970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3158000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3158420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3161720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3162700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3162880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3163180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3298270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54710701,19,0,1,0,1,3,3,1,7,3,0,16,0,1,0,1,3,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,1,0,0
54710702,8,0,1,2,0,0,1,3,1,0,0,8,0,1,2,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54710703,358,9,16,46,21,9,11,23,135,86,2,221,5,16,34,21,9,11,19,33,71,2,137,4,0,12,0,0,0,4,102,15,0,0,0,0,0,0,0,0,0,0,0,0
54710707,302,15,26,22,31,55,32,67,24,24,6,265,14,26,22,31,37,30,51,24,24,6,34,0,0,0,0,18,0,16,0,0,0,3,1,0,0,0,0,2,0,0,0,0
54710708,2341,0,0,0,1398,867,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338,0,0,0,1396,866,0,76,0,0,0,3,0,0,0,2,1,0,0,0,0,0
54710710,1595,0,2,71,1399,30,18,55,7,3,10,140,0,2,24,42,30,14,13,7,3,5,1453,0,0,47,1355,0,4,42,0,0,5,2,0,0,0,2,0,0,0,0,0,0
54710711,2415,0,0,0,1549,486,0,41,154,185,0,0,0,0,0,0,0,0,0,0,0,0,2414,0,0,0,1548,486,0,41,154,185,0,1,0,0,0,1,0,0,0,0,0,0
54710712,457,4,0,16,308,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,4,0,16,308,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54710713,2646,0,45,9,1793,436,38,210,107,7,1,170,0,35,9,33,56,19,10,4,3,1,2451,0,10,0,1739,379,17,200,102,4,0,25,0,0,0,21,1,2,0,1,0,0
54710714,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54710715,535,0,0,0,0,0,0,0,158,377,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,158,377,0,0,0,0,0,0,0,0,0,0,0,0
54710716,204,0,70,39,18,16,18,26,10,4,3,185,0,57,39,18,16,18,21,9,4,3,17,0,12,0,0,0,0,5,0,0,0,2,0,1,0,0,0,0,0,1,0,0
54710717,819,1,130,104,54,371,55,31,51,13,9,358,1,130,64,50,22,25,25,20,13,8,457,0,0,38,4,349,30,5,31,0,0,4,0,0,2,0,0,0,1,0,0,1
54710718,2080,0,0,0,148,1636,160,121,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,0,148,1626,160,121,15,0,0,10,0,0,0,0,10,0,0,0,0,0
54710719,127,0,35,13,13,16,20,19,5,5,1,127,0,35,13,13,16,20,19,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54710720,72,0,0,2,0,0,0,0,0,70,0,22,0,0,2,0,0,0,0,0,20,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
54710721,206,3,39,43,76,7,9,17,10,2,0,126,0,39,39,9,7,9,12,9,2,0,71,0,0,4,67,0,0,0,0,0,0,9,3,0,0,0,0,0,5,1,0,0
54710722,58,0,9,5,4,3,13,9,7,4,4,51,0,4,5,4,3,11,9,7,4,4,7,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54710723,2284,0,0,0,26,2170,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2281,0,0,0,26,2167,0,88,0,0,0,3,0,0,0,0,3,0,0,0,0,0
54710724,859,44,256,89,58,113,61,63,61,87,27,444,34,189,50,23,29,57,33,4,15,10,411,10,65,39,35,84,4,30,57,72,15,4,0,2,0,0,0,0,0,0,0,2
54710725,2642,0,40,0,22,2280,128,172,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2639,0,40,0,22,2277,128,172,0,0,0,1,0,0,0,0,1,0,0,0,0,0
54710726,2152,0,1,0,310,1802,0,38,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2130,0,0,0,310,1782,0,38,0,0,0,21,0,0,0,0,20,0,0,0,0,1
54710728,396,0,0,0,0,0,1,313,0,79,3,1,0,0,0,0,0,1,0,0,0,0,392,0,0,0,0,0,0,313,0,79,0,3,0,0,0,0,0,0,0,0,0,3
54710729,1318,27,132,169,12,63,111,258,123,409,14,232,14,103,18,12,28,20,22,3,5,7,1081,12,29,149,0,33,91,236,120,404,7,5,1,0,2,0,2,0,0,0,0,0
54710730,316,0,0,0,0,0,0,23,105,188,0,45,0,0,0,0,0,0,0,0,45,0,271,0,0,0,0,0,0,23,105,143,0,0,0,0,0,0,0,0,0,0,0,0
