kod_nadzsj_d,Obyvatelstvo - zaměstnaní - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: zaměstnanci - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: zaměstnavatelé - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: osoby pracující na vlastní účet - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: nezjištěno - celkem,Obyvatelstvo - zaměstnaní - věk: 15 - 24  - celkem,Obyvatelstvo - zaměstnaní - věk: 25 - 34  - celkem,Obyvatelstvo - zaměstnaní - věk: 35 - 44  - celkem,Obyvatelstvo - zaměstnaní - věk: 45 - 54  - celkem,Obyvatelstvo - zaměstnaní - věk: 55 - 59  - celkem,Obyvatelstvo - zaměstnaní - věk: 60 - 64  - celkem,Obyvatelstvo - zaměstnaní - věk: 65 a více  - celkem
54037403,145,103,1,26,15,10,21,46,46,13,5,4
54039101,33,22,2,8,1,0,6,12,9,3,2,1
54039102,36,25,1,8,2,1,10,11,6,2,3,3
54039103,133,102,2,22,7,18,13,29,42,18,7,6
54039104,11,11,0,0,0,0,1,7,0,2,0,1
54039105,24,20,1,3,0,0,7,5,8,1,2,1
54039106,15,13,0,1,1,2,4,4,3,1,1,0
54039108,29,23,0,5,1,1,5,9,6,3,3,2
3302720,0,0,0,0,0,0,0,0,0,0,0,0
54040401,30,23,1,4,2,2,4,13,7,2,1,1
54040402,1128,869,4,114,141,97,223,265,308,127,59,49
54040403,64,49,2,9,4,5,15,9,17,8,6,4
54043901,312,235,4,50,23,29,58,68,87,26,26,18
54043902,64,40,1,19,4,1,9,16,21,7,6,4
54043903,18,11,0,6,1,0,5,8,3,0,1,1
54043904,52,46,0,4,2,4,7,14,14,4,5,4
54043905,55,36,1,13,5,1,7,16,17,6,6,2
54044702,6,3,0,3,0,0,1,1,2,1,0,1
54044703,121,83,2,24,12,6,22,30,30,16,7,10
54044707,27,14,0,8,5,0,6,4,8,6,2,1
54044708,19,12,2,5,0,1,2,5,6,5,0,0
54044709,12,8,0,4,0,1,1,0,7,1,1,1
54044710,20,15,0,3,2,1,6,5,3,3,2,0
59846101,131,92,1,29,9,4,22,39,33,17,10,6
59846102,21,15,0,4,2,1,3,5,4,4,3,1
59920401,31,20,0,10,1,0,9,7,7,5,2,1
59920402,29,14,0,6,9,4,1,8,11,2,3,0
0700092,0,0,0,0,0,0,0,0,0,0,0,0
54049801,19,11,0,8,0,1,5,6,4,1,2,0
54049802,477,361,8,76,32,28,78,147,113,47,41,23
54049803,36,26,0,7,3,3,7,7,11,1,3,4
54049804,27,17,1,6,3,3,6,3,14,0,0,1
54049805,32,20,1,11,0,1,5,8,6,5,3,4
54049807,13,9,0,4,0,0,3,3,4,2,1,0
54049808,19,13,0,6,0,2,0,10,4,2,0,1
51355501,113,85,0,18,10,9,22,18,37,15,7,5
52968101,67,39,1,18,9,4,9,20,17,7,7,3
54053601,11,3,0,7,1,0,3,0,2,2,0,4
54053604,186,145,1,26,14,7,35,45,45,29,14,11
54055201,13,8,0,3,2,1,1,1,2,2,4,2
54055202,405,321,3,56,25,26,73,101,91,46,37,31
54055203,13,5,0,6,2,1,1,3,5,1,0,2
54055205,12,11,0,1,0,0,2,6,4,0,0,0
54055207,17,12,0,5,0,1,3,7,5,1,0,0
54055208,22,19,0,1,2,0,8,5,3,2,4,0
54055209,10,7,0,2,1,0,1,2,3,1,2,1
54055210,24,13,1,7,3,4,2,3,7,3,1,4
54055211,11,8,0,1,2,2,2,4,3,0,0,0
54055214,30,22,1,6,1,1,2,11,10,2,2,2
54057901,9,4,0,3,2,0,4,1,3,0,1,0
54057902,80,53,3,20,4,1,9,29,15,9,10,7
3302990,0,0,0,0,0,0,0,0,0,0,0,0
54058701,76,57,0,15,4,5,10,23,19,8,7,4
3302210,0,0,0,0,0,0,0,0,0,0,0,0
54062501,283,200,2,58,23,15,34,85,75,37,15,22
56434601,119,90,1,15,13,13,15,30,33,17,6,5
51352101,107,74,1,23,9,5,14,32,33,16,5,2
59841101,244,204,3,23,14,14,37,56,74,32,20,11
54071401,336,239,4,66,27,20,62,87,87,29,28,23
54071402,227,159,2,43,23,18,29,67,70,20,14,9
54071403,29,23,0,5,1,1,5,10,4,6,1,2
54074901,15,13,0,2,0,1,0,1,7,3,2,1
54074902,26,22,0,3,1,3,3,8,7,4,0,1
54074903,85,58,1,13,13,6,12,18,28,10,4,7
54074904,9,8,0,1,0,0,0,1,6,0,2,0
54074905,12,9,0,3,0,0,1,3,4,2,0,2
54075701,31,24,1,2,4,0,1,13,6,4,3,4
54075702,105,77,2,13,13,5,22,21,33,8,6,10
54075703,42,32,1,6,3,4,10,13,5,2,6,2
54075704,10,5,0,4,1,2,2,3,2,0,1,0
54075705,803,624,5,92,82,54,126,216,213,95,61,38
54075706,18,13,0,5,0,3,3,4,5,2,1,0
54075707,29,22,1,6,0,0,6,6,10,3,4,0
59975101,45,27,1,10,7,3,10,15,13,1,1,2
54078101,16,13,0,2,1,0,5,4,3,0,1,3
54078102,50,37,0,10,3,8,5,12,16,5,4,0
54078103,217,168,2,40,7,9,39,79,36,29,17,8
54078104,29,21,0,4,4,2,2,7,10,6,1,1
54078105,94,71,1,17,5,7,10,21,37,15,4,0
3212061,0,0,0,0,0,0,0,0,0,0,0,0
3212062,0,0,0,0,0,0,0,0,0,0,0,0
54079001,184,127,1,41,15,18,24,55,47,21,13,6
54079002,45,29,2,11,3,2,6,12,13,5,6,1
54079004,36,19,1,10,6,1,8,3,12,7,4,1
54079005,19,15,0,2,2,2,5,4,5,2,1,0
56447801,21,15,0,3,3,3,2,6,6,2,0,2
56447802,127,89,4,18,16,8,24,33,38,11,8,5
1019233,0,0,0,0,0,0,0,0,0,0,0,0
1019235,0,0,0,0,0,0,0,0,0,0,0,0
54081101,25,19,0,5,1,0,4,10,5,4,1,1
54081103,230,163,1,48,18,12,40,44,74,23,23,14
54081104,26,17,0,7,2,2,4,5,4,5,4,2
54081105,85,60,0,16,9,7,11,12,34,13,6,2
54082001,27,18,2,6,1,2,4,8,5,0,5,3
54082002,29,20,0,6,3,4,1,10,8,2,1,3
54082003,110,69,2,26,13,15,6,34,27,12,12,4
54082004,30,24,0,4,2,4,1,10,4,5,3,3
54082006,29,17,1,7,4,4,3,7,4,7,2,2
54082009,18,10,0,7,1,1,5,6,1,2,2,1
54084601,15,9,1,4,1,3,4,2,4,1,1,0
54084602,12,10,0,2,0,0,0,6,3,1,2,0
54084603,23,16,0,6,1,2,7,2,6,5,1,0
54084604,22,17,0,2,3,3,4,5,4,4,1,1
54084605,11,7,0,3,1,1,2,1,5,2,0,0
54084606,23,20,0,2,1,1,6,8,6,0,2,0
54084608,15,8,1,6,0,2,0,9,1,2,1,0
54084609,34,22,1,8,3,7,4,9,9,2,2,1
54084610,99,75,2,14,8,10,21,31,19,5,8,5
54084611,33,27,0,6,0,3,8,5,13,1,2,1
54084612,12,9,0,3,0,1,3,1,1,3,3,0
54084614,23,16,1,6,0,2,6,5,6,1,1,2
3302050,0,0,0,0,0,0,0,0,0,0,0,0
56452401,74,45,0,17,12,4,9,10,30,7,4,10
56452402,15,9,0,3,3,1,1,4,5,2,1,1
56422201,24,17,0,6,1,2,4,5,6,5,2,0
54088902,47,38,0,8,1,0,8,14,11,3,6,5
54088903,8,4,0,3,1,0,0,2,3,1,0,2
54088904,240,175,1,50,14,3,86,81,48,11,6,5
54088905,64,55,0,6,3,2,14,20,11,7,8,2
54088906,471,343,5,91,32,33,69,140,131,42,28,28
54089701,22,12,0,7,3,2,7,4,7,0,0,2
54089702,38,25,0,9,4,1,6,4,11,8,4,4
54089703,36,27,0,6,3,1,11,3,12,4,5,0
54089704,57,34,2,18,3,4,11,14,18,6,4,0
54090101,14,13,0,0,1,1,4,2,4,2,1,0
54090102,96,71,2,21,2,6,20,23,29,7,6,5
54090103,39,23,0,9,7,1,3,5,19,6,4,1
54090105,507,400,7,70,30,32,95,141,140,49,31,19
54090106,151,112,3,26,10,6,21,49,34,16,12,13
54090107,171,121,2,35,13,8,28,56,47,12,12,8
51357101,100,69,2,18,11,4,23,29,17,13,9,5
54093502,561,434,4,78,45,39,93,148,146,73,32,30
54093503,52,46,1,4,1,2,8,19,15,6,0,2
54094301,138,99,2,23,14,15,17,33,33,19,12,9
54095101,20,14,0,5,1,2,2,8,6,1,1,0
54095102,342,256,3,56,27,24,59,101,86,30,16,26
3302810,0,0,0,0,0,0,0,0,0,0,0,0
54096001,137,100,0,18,19,8,27,28,36,15,7,16
54096002,26,23,0,3,0,0,2,4,9,7,0,4
59847001,111,81,0,23,7,9,25,15,39,13,7,3
59847003,17,13,0,4,0,2,1,7,5,1,0,1
59837201,67,49,0,10,8,2,13,20,18,10,2,2
54101001,18,10,0,3,5,2,2,2,6,1,2,3
54101002,47,39,0,4,4,5,5,16,15,4,1,1
54101003,49,31,1,13,4,3,6,19,14,5,1,1
54102801,19,17,0,2,0,0,6,3,6,2,2,0
54102802,27,20,0,5,2,2,6,8,9,1,1,0
54102803,115,94,0,11,10,10,20,31,31,11,8,4
54102804,7,5,0,1,1,0,1,2,1,3,0,0
54102805,18,13,0,5,0,0,4,5,5,0,4,0
54104401,22,17,0,4,1,0,5,6,8,0,1,2
54104402,35,24,1,9,1,1,4,10,12,4,4,0
54104403,12,9,0,2,1,1,2,2,5,2,0,0
54104404,21,8,1,10,2,2,2,4,7,1,5,0
54104406,22,9,0,8,5,4,2,4,5,0,4,3
54104407,34,16,0,15,3,3,5,15,5,3,1,2
54104410,329,218,4,83,24,23,53,89,88,39,18,19
54104412,25,18,0,7,0,1,5,6,5,5,2,1
54104413,19,11,0,7,1,3,3,3,6,3,0,1
54104414,14,3,0,8,3,2,5,1,5,0,0,1
54104416,42,27,1,12,2,6,7,8,12,6,3,0
54104417,36,22,1,12,1,1,7,8,12,3,1,4
54104418,20,11,1,7,1,1,6,3,3,4,1,2
54104420,14,11,0,2,1,1,2,5,3,1,1,1
54105202,69,45,0,17,7,5,11,23,16,6,2,6
54105203,254,196,0,33,25,23,42,81,59,20,15,14
56421401,54,39,0,10,5,5,7,12,16,9,3,2
54108702,156,115,3,30,8,5,27,38,47,24,8,7
54108703,24,21,0,1,2,1,2,5,9,5,1,1
54108704,20,9,1,8,2,2,5,4,6,2,1,0
54108705,74,49,3,18,4,1,13,11,22,13,6,8
56448601,118,81,2,19,16,10,13,36,36,12,6,5
56448602,76,56,0,12,8,3,10,26,16,14,4,3
56448603,372,279,3,57,33,23,46,103,101,50,36,13
54113302,28,17,1,9,1,3,7,3,9,3,1,2
54113303,32,23,0,8,1,3,4,10,11,2,1,1
54113304,84,57,0,18,9,5,23,22,18,6,6,4
54113305,69,49,1,14,5,7,21,10,17,8,4,2
54113306,51,36,0,14,1,5,6,16,14,7,2,1
3080130,0,0,0,0,0,0,0,0,0,0,0,0
3211682,0,0,0,0,0,0,0,0,0,0,0,0
3342940,0,0,0,0,0,0,0,0,0,0,0,0
53991103,57,40,1,10,6,3,5,15,15,6,9,4
53991104,12,10,0,2,0,1,1,3,5,2,0,0
53991105,26,17,2,5,2,4,5,2,8,3,3,1
53991106,51,34,1,11,5,5,7,12,15,8,4,0
53991107,29,14,0,12,3,1,5,7,11,2,2,1
53991108,79,53,1,18,7,1,5,30,27,8,2,6
53991109,21,14,0,5,2,2,1,9,6,2,1,0
53991110,32,24,1,5,2,4,4,8,10,4,1,1
53991111,12,7,3,2,0,0,1,1,2,4,1,3
53991112,103,72,3,13,15,10,13,28,37,4,7,4
53991113,160,114,2,31,13,5,17,39,52,21,11,15
53991114,279,196,6,45,32,15,30,69,88,34,27,16
53991115,15,10,1,3,1,0,3,6,4,0,2,0
53991117,436,304,3,74,55,30,83,109,116,53,31,14
53991118,184,150,1,21,12,9,29,52,48,28,8,10
53991119,496,387,5,51,53,37,93,99,136,62,38,31
53991120,74,67,0,2,5,5,22,22,10,9,4,2
53991122,651,444,11,117,79,47,79,134,184,70,68,69
53991125,431,303,11,60,57,31,65,116,113,67,24,15
53991126,206,148,2,34,22,11,25,68,47,23,19,13
53991127,688,485,8,111,84,46,102,158,182,84,64,52
53991128,866,664,8,91,103,71,146,211,228,83,64,63
53991129,11,7,0,0,4,2,0,2,3,1,0,3
53991130,304,229,3,39,33,31,57,73,72,36,19,16
53991131,484,371,10,59,44,33,86,140,111,45,33,36
53991132,232,145,9,61,17,10,36,54,48,36,27,21
53991133,153,100,10,28,15,11,13,26,58,17,13,15
53991134,175,142,2,18,13,11,25,28,46,31,15,19
53991135,204,136,6,35,27,11,34,45,42,30,24,18
53991137,102,75,7,13,7,7,5,25,42,8,6,9
53991138,68,58,0,7,3,3,9,13,22,10,5,6
53991139,1197,931,3,127,136,64,215,286,275,157,123,77
53991141,197,139,3,38,17,14,32,42,44,29,20,16
53991142,44,38,0,4,2,3,7,5,21,6,1,1
53991143,603,445,14,80,64,44,110,147,177,58,34,33
53991145,93,71,1,13,8,8,21,26,16,11,6,5
53991146,1893,1500,16,183,194,148,381,456,474,208,124,102
53991147,1733,1326,9,193,205,114,365,448,395,189,125,97
53991148,416,304,5,52,55,24,68,105,97,51,28,43
53991149,833,625,3,102,103,46,169,250,188,81,56,43
53991150,829,629,13,96,91,63,157,197,198,77,69,68
53991152,821,649,5,91,76,48,161,164,224,120,56,48
53991153,331,247,2,49,33,19,46,85,87,34,34,26
53991154,175,128,2,32,13,14,29,41,42,22,14,13
51354701,173,115,6,39,13,11,24,42,54,14,15,13
56438902,80,62,0,12,6,6,7,28,21,7,9,2
59848802,74,59,0,14,1,5,17,22,16,9,3,2
59848805,27,20,0,4,3,1,3,5,9,5,2,2
54120601,229,174,0,42,13,17,34,45,78,27,12,16
54120602,151,107,1,32,11,9,20,35,56,13,13,5
54120603,33,25,0,7,1,2,2,13,9,6,1,0
3344130,0,0,0,0,0,0,0,0,0,0,0,0
54123101,34,26,1,4,3,1,8,7,9,2,6,1
54123102,20,18,0,1,1,3,3,1,5,4,2,2
54123103,12,8,0,3,1,0,0,3,6,1,1,1
54123104,105,71,3,16,15,4,20,30,33,6,3,9
54123105,18,11,0,5,2,0,1,6,5,1,2,3
54123108,170,121,0,28,21,10,19,45,50,23,12,11
54123109,46,35,0,9,2,4,5,7,12,6,6,6
54123110,91,64,1,18,8,4,22,21,21,13,7,3
54123111,23,12,3,3,5,4,1,8,5,2,1,2
54123115,66,51,1,9,5,4,16,16,19,4,6,1
54123116,303,211,2,51,39,20,48,80,93,29,18,15
54123117,653,506,7,79,61,41,115,153,175,87,52,30
54123118,322,256,2,36,28,14,47,93,86,46,18,18
54123119,52,34,1,8,9,3,7,19,16,3,3,1
54123120,19,14,0,2,3,2,0,4,8,3,1,1
54125701,47,30,1,11,5,3,2,13,17,5,3,4
54125702,30,19,0,7,4,2,5,6,10,3,2,2
54125703,16,8,2,4,2,2,1,6,2,3,2,0
54125704,159,120,4,24,11,5,35,41,44,19,10,5
3302560,0,0,0,0,0,0,0,0,0,0,0,0
54127301,106,70,1,22,13,5,22,26,25,11,9,8
1465790,0,0,0,0,0,0,0,0,0,0,0,0
1466090,0,0,0,0,0,0,0,0,0,0,0,0
1466170,0,0,0,0,0,0,0,0,0,0,0,0
54128101,41,28,0,13,0,0,11,9,11,4,5,1
54128102,21,13,2,3,3,3,3,5,5,1,3,1
54128103,57,33,0,19,5,5,9,7,24,1,2,9
54128104,44,32,0,10,2,1,11,8,19,3,2,0
54128105,11,7,0,4,0,1,2,4,2,1,0,1
54128106,104,75,2,23,4,6,13,28,28,15,7,7
54128107,44,29,1,11,3,0,6,14,12,6,2,4
54128108,14,8,0,4,2,2,3,4,5,0,0,0
54128109,44,37,0,7,0,5,2,18,11,5,1,2
54128111,566,419,5,84,58,41,120,121,148,63,36,37
54128113,64,53,0,2,9,5,9,15,21,6,3,5
54128114,11,8,0,2,1,0,4,6,1,0,0,0
54128115,128,81,3,37,7,9,23,24,39,17,9,7
54128116,392,289,11,65,27,27,66,89,120,46,29,15
54128117,267,194,4,54,15,10,45,67,65,49,14,17
54128118,14,10,0,2,2,0,2,3,5,3,1,0
54128119,578,420,10,99,49,43,86,111,174,83,49,32
54128120,91,56,2,30,3,8,15,22,28,11,5,2
54128121,125,89,6,16,14,12,16,27,41,12,8,9
54128122,631,451,10,108,62,42,132,125,177,69,51,35
53057301,29,18,0,8,3,2,7,8,9,2,1,0
53057302,45,29,0,15,1,6,6,15,11,3,1,3
53057303,33,25,0,7,1,2,7,5,12,5,0,2
53057304,24,19,0,4,1,0,6,6,4,7,1,0
53057305,27,17,0,8,2,2,2,7,10,1,3,2
53057306,25,17,0,5,3,0,4,9,7,3,1,1
53057307,14,8,0,3,3,1,2,6,3,0,1,1
53057308,22,14,0,6,2,3,1,8,4,1,1,4
53057309,69,53,0,13,3,6,15,16,12,7,8,5
53057310,17,10,1,4,2,1,4,2,9,1,0,0
53057311,22,16,0,5,1,1,4,9,3,2,2,1
53057312,54,37,2,12,3,3,7,14,22,6,0,2
53057313,10,7,0,3,0,0,1,0,2,2,2,3
53057314,33,26,0,6,1,1,4,6,10,7,3,2
53057315,15,13,0,1,1,1,1,4,4,1,2,2
53057316,13,9,0,3,1,0,4,5,2,0,2,0
53057317,6,4,0,2,0,0,2,2,2,0,0,0
53057319,56,46,3,5,2,2,12,19,11,5,4,3
53057320,22,12,2,4,4,0,2,7,5,2,1,5
53057321,17,14,0,2,1,4,3,2,7,0,0,1
53057322,13,12,0,1,0,0,4,6,1,1,1,0
53057323,244,183,2,44,15,13,46,45,81,25,23,11
53057324,474,370,3,63,38,26,84,120,104,66,54,20
53057326,20,15,0,5,0,1,1,5,10,2,0,1
53057327,17,12,0,4,1,0,2,4,6,1,2,2
53057332,17,9,1,6,1,2,1,10,4,0,0,0
53057333,15,10,0,4,1,1,3,4,7,0,0,0
56463001,53,37,0,10,6,1,8,17,13,8,3,3
56463002,26,17,1,4,4,1,2,10,4,3,2,4
56463003,47,28,2,12,5,3,6,19,9,2,5,3
54131101,56,38,1,6,11,7,7,17,14,3,2,6
54131102,10,8,0,1,1,0,1,6,2,0,0,1
54131103,32,25,0,2,5,1,2,14,10,0,2,3
54131104,18,13,0,3,2,3,1,5,3,2,4,0
1523820,0,0,0,0,0,0,0,0,0,0,0,0
54132001,120,81,1,20,18,7,12,35,29,20,5,12
54132002,21,19,0,2,0,0,7,5,4,1,2,2
54133801,785,607,5,131,42,42,133,235,213,76,45,41
56458301,64,53,0,4,7,3,10,18,18,11,2,2
54137101,46,28,1,15,2,3,11,14,13,2,2,1
54137102,156,116,2,23,15,9,27,45,45,15,8,7
54138901,71,46,1,16,8,9,16,15,17,8,5,1
54138902,15,9,0,5,1,2,2,1,8,1,0,1
54138903,187,135,5,31,16,11,23,60,51,24,14,4
1601482,0,0,0,0,0,0,0,0,0,0,0,0
54139701,20,13,2,5,0,2,2,6,7,2,1,0
54139703,54,35,1,12,6,0,10,9,22,7,3,3
54139704,27,13,1,9,4,1,1,8,10,4,2,1
54139706,101,77,1,14,9,6,9,33,26,15,9,3
54139707,13,9,0,2,2,2,0,4,4,2,1,0
54139708,24,16,0,7,1,1,3,5,6,3,4,2
54139709,48,36,1,8,3,3,11,12,11,5,4,2
54139710,26,19,1,4,2,2,3,8,6,4,3,0
56427302,52,41,1,7,3,2,4,17,16,6,4,3
54141901,12,9,0,2,1,0,3,2,4,3,0,0
54141902,30,20,0,8,2,1,6,10,7,2,2,2
54141903,80,60,1,14,5,8,14,19,26,10,1,2
54141904,48,39,0,5,4,3,6,20,8,6,3,2
54141905,12,7,0,5,0,0,3,1,7,0,1,0
52966401,24,18,0,4,2,3,9,2,5,2,1,2
54142701,37,24,0,10,3,1,5,11,12,5,1,2
54142702,26,18,0,5,3,0,5,4,11,2,2,2
54142703,239,173,1,39,26,13,36,58,77,24,17,14
59842901,235,187,2,26,20,12,37,61,73,32,14,6
54145101,135,93,3,29,10,15,17,39,41,12,4,7
59833001,52,36,0,7,9,8,2,14,11,11,3,3
59833002,8,7,0,1,0,0,0,5,2,1,0,0
51353901,113,84,0,23,6,4,19,28,28,22,7,5
3301910,0,0,0,0,0,0,0,0,0,0,0,0
54150801,90,61,0,17,12,4,16,18,28,9,8,7
54150802,250,199,1,28,22,12,39,82,67,25,12,13
54151601,299,219,5,47,28,19,52,79,71,44,21,13
54151602,44,26,0,14,4,2,11,9,12,7,2,1
54152401,123,94,0,19,10,14,18,20,34,20,12,5
54152402,15,14,1,0,0,0,0,4,6,3,2,0
54152403,62,56,0,3,3,2,15,12,19,7,5,2
54154101,361,252,6,72,31,14,75,86,95,39,22,30
54154102,55,31,0,15,9,1,4,19,16,3,9,3
56436201,10,8,0,2,0,1,0,4,3,2,0,0
56436202,41,30,1,8,2,1,5,10,14,3,3,5
56436203,24,17,0,5,2,2,6,5,4,3,3,1
3302130,0,0,0,0,0,0,0,0,0,0,0,0
54156701,153,112,0,29,12,7,27,29,46,28,12,4
59843701,71,47,1,15,8,7,11,13,25,10,3,2
54158301,165,109,4,32,20,14,23,34,56,17,9,12
54159101,61,45,0,11,5,3,10,13,20,7,4,4
54159102,11,5,0,5,1,0,2,3,2,3,0,1
54159103,49,31,0,12,6,5,7,17,10,4,1,5
54159104,19,11,0,6,2,2,3,3,6,4,0,1
54159105,174,118,2,44,10,9,31,49,47,15,14,9
54159107,69,43,1,16,9,8,9,19,19,8,3,3
54161301,142,112,0,19,11,3,31,36,30,20,13,9
54161302,11,8,0,2,1,2,1,1,3,0,1,3
56432001,68,52,0,11,5,7,7,14,27,6,5,2
51351202,152,101,0,39,12,8,39,23,53,14,11,4
51351203,12,10,0,2,0,1,1,1,9,0,0,0
56433801,43,26,1,10,6,2,7,8,8,6,6,6
56542301,33,26,0,6,1,2,1,11,11,3,2,3
54167203,99,75,0,17,7,3,8,23,28,13,12,12
56504101,56,36,1,17,2,5,7,17,18,4,3,2
54169901,303,229,8,41,25,30,46,83,75,30,23,16
54169902,8,6,0,1,1,0,0,5,2,0,0,1
54169904,9,6,1,1,1,2,1,4,1,1,0,0
54169906,10,8,0,2,0,0,3,3,2,2,0,0
54169907,7,6,0,0,1,0,1,0,2,1,3,0
54169909,6,5,0,0,1,1,3,1,1,0,0,0
54169910,30,21,0,8,1,3,3,10,9,0,2,3
56518101,42,30,0,9,3,4,5,12,16,3,2,0
56518102,18,14,0,0,4,2,5,5,4,1,1,0
56518103,26,19,1,2,4,2,1,15,3,3,1,1
52971101,18,11,0,4,3,1,2,0,8,2,2,3
52971103,11,10,0,1,0,0,6,0,3,1,1,0
54172901,178,130,4,24,20,8,35,43,45,25,9,13
54173701,39,27,0,9,3,3,5,8,11,8,3,1
54173703,94,68,0,12,14,11,15,26,32,3,2,5
54173704,13,10,1,2,0,3,3,4,2,0,1,0
54173705,19,10,0,7,2,1,3,8,4,3,0,0
56520201,23,14,1,6,2,1,3,2,9,3,3,2
54176101,53,39,0,4,10,4,6,16,16,5,4,2
54176103,9,7,0,2,0,0,0,6,0,0,0,3
54176104,22,14,0,5,3,0,3,9,3,3,2,2
54176106,11,11,0,0,0,2,1,1,5,1,1,0
54176107,15,8,0,3,4,1,3,6,1,4,0,0
54177001,256,202,4,37,13,17,49,63,75,25,19,8
56533401,50,42,0,7,1,2,8,16,13,4,5,2
56533402,19,16,0,3,0,4,1,5,6,2,1,0
54181801,306,238,2,42,24,23,58,71,79,37,19,19
54181802,29,23,0,5,1,3,2,9,8,1,2,4
56527001,67,49,2,9,7,5,9,11,23,14,4,1
54183402,15,11,0,2,2,4,2,1,4,3,1,0
54183403,612,480,1,68,63,52,102,164,148,78,36,32
54183404,12,11,0,0,1,1,0,4,3,3,0,1
54183405,21,15,0,5,1,2,3,7,1,4,3,1
54183407,18,7,1,8,2,1,2,3,4,5,1,2
56544001,43,32,1,5,5,2,10,14,12,3,1,1
56544002,11,9,0,2,0,0,1,3,2,3,2,0
56528801,63,52,2,6,3,6,8,15,20,7,3,4
54187701,467,360,4,55,48,32,86,117,128,52,31,21
56519901,64,53,1,3,7,8,10,13,21,6,4,2
54189301,10,9,0,1,0,1,0,5,3,1,0,0
54189302,289,227,4,27,31,22,49,69,82,34,22,11
54189303,27,21,1,1,4,1,5,8,9,3,1,0
54190701,230,189,1,22,18,19,41,53,69,23,18,7
56538501,48,34,2,6,6,7,5,10,20,2,3,1
56535101,56,39,0,12,5,6,6,20,15,4,2,3
56536901,24,18,0,3,3,2,4,3,8,5,0,2
56536902,10,10,0,0,0,0,3,4,0,1,1,1
54194001,134,98,0,22,14,13,29,34,30,19,5,4
59850001,46,37,0,6,3,4,6,11,9,10,5,1
54196601,209,161,1,30,17,18,28,56,62,18,17,10
54197401,304,245,2,33,24,11,69,74,93,38,11,8
54198201,12,7,0,3,2,0,2,3,4,2,0,1
54198202,72,56,0,6,10,2,18,16,18,9,5,4
54198203,27,16,3,6,2,3,2,4,10,4,2,2
54198204,206,149,7,33,17,15,35,39,56,31,17,13
54198205,12,12,0,0,0,0,4,4,1,1,1,1
54200801,30,24,0,5,1,0,3,10,8,7,0,2
54200802,12,6,0,2,4,1,2,3,3,0,1,2
54201601,323,245,2,42,34,36,73,60,88,30,21,15
54203201,494,390,4,61,39,42,66,141,133,60,29,23
54203202,17,14,0,2,1,1,3,4,9,0,0,0
54204102,626,472,7,84,63,45,113,162,144,73,52,37
54204104,309,231,4,47,27,18,52,69,90,32,23,25
56537701,50,35,1,7,7,4,11,16,9,4,4,2
54206702,208,140,7,36,25,19,23,54,58,22,16,16
54207501,113,88,1,11,13,6,16,42,19,11,9,10
54207502,28,17,2,6,3,3,5,8,7,2,0,3
56546601,64,46,2,12,4,6,11,15,21,6,3,2
56546602,34,26,0,7,1,3,6,9,12,3,1,0
54210501,413,301,10,66,36,23,70,109,109,55,26,21
54210502,11,8,0,3,0,0,1,6,2,2,0,0
54211301,63,53,0,2,8,2,16,13,12,10,5,5
54211302,215,140,3,53,19,14,38,73,50,18,14,8
54211303,26,19,0,5,2,0,0,9,5,8,4,0
54212101,26,24,0,1,1,5,2,5,6,3,2,3
54212102,344,266,2,41,35,21,66,78,110,23,28,18
54213001,209,170,0,20,19,14,42,63,50,27,7,6
59858502,36,23,0,9,4,1,3,8,11,4,4,5
54216401,2632,2043,23,321,245,159,476,711,695,283,169,139
54216402,121,83,1,25,12,2,13,48,34,10,6,8
54216403,120,98,0,17,5,6,15,29,39,17,8,6
54218101,85,56,1,19,9,4,11,28,20,9,6,7
54219901,288,222,1,44,21,16,44,78,75,43,24,8
54220201,13,9,0,2,2,0,2,1,5,2,3,0
54220202,155,115,0,22,18,11,28,36,39,18,17,6
54220203,331,19,0,7,305,26,116,121,51,13,4,0
54221101,138,91,0,30,17,13,26,30,40,16,9,4
1183202,0,0,0,0,0,0,0,0,0,0,0,0
54424801,34,25,0,5,4,2,3,9,15,1,2,2
54424802,31,26,0,4,1,4,2,9,8,4,2,2
54424803,28,21,0,5,2,1,1,6,12,2,2,4
54424804,333,259,3,37,34,21,69,86,83,40,23,11
54424805,55,43,1,7,4,3,6,22,16,7,1,0
54424806,18,12,1,5,0,0,1,4,6,3,1,3
54222901,133,105,1,18,9,10,21,31,38,15,10,8
54223701,123,90,0,18,15,4,24,36,28,14,13,4
59857702,41,35,1,2,3,3,3,12,12,4,2,5
54225301,87,70,0,7,10,8,11,30,26,8,4,0
56526101,113,87,0,17,9,6,20,38,19,10,6,14
54227001,110,84,0,15,11,7,19,31,40,3,5,5
1369480,0,0,0,0,0,0,0,0,0,0,0,0
54228802,53,36,0,6,11,3,6,15,14,9,1,5
59976001,76,51,1,14,10,3,10,21,26,11,4,1
54165601,452,290,16,93,53,43,103,108,108,43,24,23
54165602,220,173,0,23,24,22,40,47,66,18,11,16
54165603,32,19,0,9,4,4,5,4,7,3,5,4
