kod_nadzsj_d,Obyvatelstvo - zaměstnaní - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: zaměstnanci - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: zaměstnavatelé - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: osoby pracující na vlastní účet - celkem,Obyvatelstvo - zaměstnaní - postavení v zaměstnání: nezjištěno - celkem,Obyvatelstvo - zaměstnaní - věk: 15 - 24  - celkem,Obyvatelstvo - zaměstnaní - věk: 25 - 34  - celkem,Obyvatelstvo - zaměstnaní - věk: 35 - 44  - celkem,Obyvatelstvo - zaměstnaní - věk: 45 - 54  - celkem,Obyvatelstvo - zaměstnaní - věk: 55 - 59  - celkem,Obyvatelstvo - zaměstnaní - věk: 60 - 64  - celkem,Obyvatelstvo - zaměstnaní - věk: 65 a více  - celkem
1284570,0,0,0,0,0,0,0,0,0,0,0,0
1284730,0,0,0,0,0,0,0,0,0,0,0,0
1285380,0,0,0,0,0,0,0,0,0,0,0,0
1285540,0,0,0,0,0,0,0,0,0,0,0,0
1285970,0,0,0,0,0,0,0,0,0,0,0,0
3158000,0,0,0,0,0,0,0,0,0,0,0,0
3158420,0,0,0,0,0,0,0,0,0,0,0,0
3161720,0,0,0,0,0,0,0,0,0,0,0,0
3162700,0,0,0,0,0,0,0,0,0,0,0,0
3162880,0,0,0,0,0,0,0,0,0,0,0,0
3163180,0,0,0,0,0,0,0,0,0,0,0,0
3298270,0,0,0,0,0,0,0,0,0,0,0,0
54710701,34,16,1,15,2,2,1,16,7,2,1,5
54710702,7,4,0,3,0,0,1,3,1,2,0,0
54710703,547,348,6,135,58,26,94,203,132,36,32,24
54710707,447,310,6,86,45,33,55,110,125,49,31,44
54710708,2460,1840,17,378,225,138,469,603,524,244,208,274
54710710,1594,1158,11,257,168,82,299,478,336,112,99,188
54710711,2644,1916,13,448,267,169,561,785,518,198,154,259
54710712,534,399,8,79,48,22,100,156,107,41,46,62
54710713,2691,1930,12,461,288,152,521,737,574,223,169,315
54710714,14,12,0,2,0,0,1,1,3,4,2,3
54710715,749,557,3,136,53,24,257,338,87,25,13,5
54710716,263,185,1,56,21,10,56,65,52,24,32,24
54710717,1022,732,12,174,104,51,165,285,229,114,81,97
54710718,2427,1806,6,418,197,115,447,751,415,228,243,228
54710719,184,119,3,45,17,6,20,52,58,20,12,16
54710720,97,68,0,21,8,3,31,43,12,3,1,4
54710721,239,166,1,53,19,12,34,72,49,21,19,32
54710722,75,51,1,14,9,2,10,21,22,12,5,3
54710723,2719,2075,20,416,208,121,501,652,552,389,296,208
54710724,1353,915,18,288,132,60,281,386,313,131,91,91
54710725,2997,2155,10,529,303,138,479,921,575,248,301,335
54710726,2693,2033,5,394,261,176,513,744,522,206,266,266
54710728,475,348,2,82,43,41,150,165,77,17,13,12
54710729,1671,1172,14,325,160,109,457,501,348,108,70,78
54710730,421,301,3,86,31,14,140,181,67,5,6,8
54710731,1078,771,6,213,88,69,207,253,246,117,73,113
54710734,948,707,6,166,69,50,145,300,248,73,57,75
54710735,19,11,0,5,3,1,7,8,1,1,1,0
3163690,0,0,0,0,0,0,0,0,0,0,0,0
3168650,0,0,0,0,0,0,0,0,0,0,0,0
3168730,0,0,0,0,0,0,0,0,0,0,0,0
3168810,0,0,0,0,0,0,0,0,0,0,0,0
3168900,0,0,0,0,0,0,0,0,0,0,0,0
3169030,0,0,0,0,0,0,0,0,0,0,0,0
3182210,0,0,0,0,0,0,0,0,0,0,0,0
3183700,0,0,0,0,0,0,0,0,0,0,0,0
3205520,0,0,0,0,0,0,0,0,0,0,0,0
53969401,19,18,0,0,1,2,3,6,3,4,1,0
53969402,2968,2266,17,420,265,168,662,631,607,446,252,202
53969403,64,48,1,11,4,2,6,9,14,8,10,15
53969404,2936,2080,8,487,361,215,648,777,756,241,158,141
53969405,3457,2672,8,472,305,161,754,794,584,465,370,329
53969406,1736,1256,12,297,171,97,485,522,432,94,53,53
53969407,1230,902,4,207,117,76,512,357,177,53,26,29
53969408,2392,1820,18,336,218,121,415,681,447,226,234,268
53969410,212,149,3,38,22,15,42,64,45,19,11,16
53969411,313,238,1,34,40,20,79,85,81,28,13,7
53969412,2726,2008,18,446,254,153,663,567,537,402,230,174
53969413,6010,4524,23,928,535,409,1304,1397,1586,693,348,273
53969414,389,286,3,69,31,23,120,150,71,12,5,8
53969415,92,72,0,12,8,0,14,46,20,9,2,1
53969416,1221,852,20,249,100,70,200,306,312,144,81,108
53969417,593,375,7,142,69,44,118,128,169,51,36,47
53969419,3355,2550,11,510,284,171,655,848,593,360,399,329
53969420,2890,2158,11,441,280,214,696,692,722,282,160,124
53969421,1806,1371,6,251,178,108,469,455,475,160,80,59
53969422,284,200,1,52,31,23,35,62,86,35,11,32
53969423,75,57,0,9,9,6,6,18,24,12,6,3
53969424,238,170,6,40,22,19,37,52,78,18,15,19
53969425,17,15,0,0,2,1,4,5,5,1,0,1
53969426,35,27,0,6,2,4,16,8,5,1,1,0
1316610,0,0,0,0,0,0,0,0,0,0,0,0
1316950,0,0,0,0,0,0,0,0,0,0,0,0
3065250,0,0,0,0,0,0,0,0,0,0,0,0
3170120,0,0,0,0,0,0,0,0,0,0,0,0
3170550,0,0,0,0,0,0,0,0,0,0,0,0
3172090,0,0,0,0,0,0,0,0,0,0,0,0
54736101,130,99,0,18,13,8,12,37,50,13,7,3
54736102,164,101,0,39,24,15,30,42,42,15,7,13
54736103,132,95,0,20,17,17,58,37,12,4,4,0
54736104,2180,1657,9,312,202,151,506,555,528,199,92,149
54736105,2169,1647,8,300,214,140,652,504,429,179,153,112
54736106,1278,912,3,236,127,88,303,321,292,114,80,80
54736109,105,80,0,15,10,8,55,21,11,6,3,1
54736110,34,21,1,7,5,2,6,15,4,4,1,2
54736111,3581,2782,9,473,317,245,667,794,902,548,267,158
54736112,2119,1633,2,236,248,233,293,368,863,191,97,74
54736113,446,335,3,66,42,35,126,115,105,32,14,19
54736114,4141,3160,16,555,410,356,844,839,1226,479,232,165
54736115,647,481,2,107,57,43,208,223,114,38,9,12
54736116,2205,1660,12,310,223,130,443,625,433,169,191,214
54736117,33,25,0,3,5,0,5,10,14,0,1,3
54736118,1738,1252,13,304,169,91,459,463,433,115,84,93
54736119,144,105,3,22,14,11,22,35,37,18,9,12
54736120,191,154,0,24,13,14,50,44,56,16,7,4
54736121,825,651,4,102,68,51,171,221,181,78,82,41
54736122,1061,816,3,162,80,73,386,340,189,37,16,20
54736123,1238,900,14,208,116,65,259,307,277,141,83,106
54736124,41,28,0,10,3,0,8,13,7,7,4,2
54736125,649,462,8,122,57,45,111,153,168,82,52,38
54736126,1378,1045,9,217,107,62,337,581,242,65,44,47
54736127,713,512,3,134,64,41,76,220,240,59,37,40
1318650,0,0,0,0,0,0,0,0,0,0,0,0
3060450,0,0,0,0,0,0,0,0,0,0,0,0
3174200,0,0,0,0,0,0,0,0,0,0,0,0
3183880,0,0,0,0,0,0,0,0,0,0,0,0
54738701,36,24,0,7,5,1,11,8,7,4,3,2
54738702,1024,711,4,215,94,70,201,259,257,95,58,84
54738703,79,61,0,10,8,5,16,13,25,11,6,3
54738704,40,29,0,5,6,4,3,6,15,6,3,3
54738705,117,73,0,19,25,13,15,36,31,9,7,6
54738707,2264,1679,17,367,201,147,534,689,428,169,122,175
54738708,2454,1834,9,377,234,153,501,686,574,184,107,249
54738709,269,188,1,55,25,30,44,54,77,33,15,16
54738710,866,611,7,163,85,40,146,242,196,102,75,65
54738711,1890,1445,8,290,147,87,369,598,359,115,137,225
54738713,1423,1053,7,224,139,74,393,518,286,68,49,35
54738714,3035,2346,11,475,203,167,635,818,700,351,204,160
54738715,1182,929,3,159,91,68,501,355,161,47,30,20
54738716,1829,1341,9,310,169,106,358,513,483,114,111,144
54738717,87,63,0,18,6,2,19,39,19,4,4,0
54738719,2965,2348,15,377,225,166,543,913,603,270,279,191
3061850,0,0,0,0,0,0,0,0,0,0,0,0
53960102,34,25,0,3,6,0,10,6,9,4,3,2
53960103,3040,2194,31,539,276,131,551,777,755,377,237,212
53960104,11,7,0,4,0,0,4,2,0,1,4,0
53960106,11,8,0,0,3,0,1,1,6,1,0,2
53960107,104,76,1,16,11,6,16,32,22,12,11,5
53960108,1111,831,6,179,95,59,223,283,281,123,68,74
53960110,250,174,0,48,28,18,36,61,66,22,24,23
54717401,3429,2632,26,467,304,204,621,885,664,460,331,264
54717402,31,28,0,2,1,2,2,5,10,8,3,1
54717403,1076,724,15,205,132,69,204,275,261,77,81,109
54717404,444,276,2,99,67,17,85,120,94,54,35,39
54717405,4119,3156,21,571,371,252,810,953,984,551,311,258
54717406,324,225,5,55,39,17,59,77,89,27,23,32
54717407,3317,2508,13,422,374,209,638,861,723,290,287,309
1311720,0,0,0,0,0,0,0,0,0,0,0,0
1314400,0,0,0,0,0,0,0,0,0,0,0,0
54741701,23,17,0,5,1,0,0,8,4,3,3,5
54741702,192,160,1,20,11,12,34,92,44,6,0,4
54741703,182,119,1,34,28,11,55,64,32,5,9,6
54741704,5991,4547,20,883,541,344,1341,1924,1313,432,282,355
54741705,2103,1568,11,351,173,114,395,540,506,263,150,135
54741706,2768,2073,12,457,226,185,1124,929,348,93,52,37
54741707,15,7,0,2,6,3,4,4,3,0,1,0
54741708,1023,763,5,162,93,49,276,331,269,48,26,24
54741709,69,52,1,10,6,4,3,18,21,9,8,6
1311990,0,0,0,0,0,0,0,0,0,0,0,0
3170390,0,0,0,0,0,0,0,0,0,0,0,0
54734401,139,97,0,25,17,11,37,33,32,11,4,11
54734402,437,305,3,76,53,23,75,114,108,48,23,46
54734404,139,97,1,25,16,10,77,35,13,2,0,2
54734405,10,8,0,1,1,0,1,4,2,1,2,0
54734406,1342,968,11,248,115,74,194,463,321,130,73,87
54734407,1868,1437,6,272,153,118,341,604,506,145,89,65
1272300,0,0,0,0,0,0,0,0,0,0,0,0
3057910,0,0,0,0,0,0,0,0,0,0,0,0
3058040,0,0,0,0,0,0,0,0,0,0,0,0
3182050,0,0,0,0,0,0,0,0,0,0,0,0
50008901,1020,664,6,232,118,69,316,247,217,76,36,59
50008902,441,277,2,97,65,33,154,96,84,31,21,22
50008903,1582,1019,6,340,217,131,518,300,257,132,105,139
50008904,898,541,7,193,157,118,342,188,127,46,36,41
50008905,1584,972,12,376,224,121,456,349,320,123,81,134
50008906,1746,1067,14,381,284,167,490,397,315,134,88,155
50008907,1206,798,5,252,151,106,392,264,240,69,61,74
50008908,2591,1591,15,621,364,208,783,628,478,189,140,165
50008909,3638,2291,15,795,537,281,1056,916,684,245,196,260
50008910,1768,1071,14,422,261,137,521,406,332,119,97,156
50008912,2559,1506,14,685,354,153,755,649,484,178,137,203
50008913,2931,1755,16,779,381,179,918,778,538,202,123,193
50008914,20,9,0,1,10,0,8,7,3,1,1,0
50008916,1567,897,11,421,238,114,454,424,284,106,80,105
50008917,1164,731,4,269,160,103,357,264,189,93,61,97
50008918,2575,1736,17,519,303,227,841,588,498,166,122,133
3065170,0,0,0,0,0,0,0,0,0,0,0,0
3170710,0,0,0,0,0,0,0,0,0,0,0,0
3170980,0,0,0,0,0,0,0,0,0,0,0,0
3172330,0,0,0,0,0,0,0,0,0,0,0,0
3172680,0,0,0,0,0,0,0,0,0,0,0,0
3249060,0,0,0,0,0,0,0,0,0,0,0,0
53821301,1899,1460,7,247,185,92,377,476,463,272,113,106
53821302,35,27,0,3,5,1,10,8,12,4,0,0
53821304,24,22,0,0,2,2,9,7,3,2,0,1
53821307,23,15,1,5,2,0,4,5,6,4,1,3
53821308,3899,2800,39,672,388,253,574,947,1159,372,287,307
53821309,294,237,0,10,47,22,92,89,64,17,7,3
53821310,180,123,3,36,18,23,26,59,50,11,6,5
53821311,2116,1554,21,357,184,149,442,547,509,213,130,126
53821312,47,36,1,8,2,3,5,13,18,2,4,2
3173220,0,0,0,0,0,0,0,0,0,0,0,0
53894901,18,9,0,8,1,1,3,4,7,2,0,1
53894902,3777,2587,42,806,342,246,503,954,1116,435,244,279
53894903,1182,900,5,189,88,57,184,380,242,89,125,105
53894904,516,362,2,106,46,31,55,163,175,45,20,27
3175010,0,0,0,0,0,0,0,0,0,0,0,0
3175510,0,0,0,0,0,0,0,0,0,0,0,0
3176410,0,0,0,0,0,0,0,0,0,0,0,0
3297540,0,0,0,0,0,0,0,0,0,0,0,0
53893101,369,249,1,85,34,26,38,104,116,47,18,20
53893103,41,33,0,5,3,2,8,7,14,5,1,4
53893104,1546,1212,5,237,92,96,570,525,228,64,29,34
53893106,57,39,1,12,5,8,11,15,15,3,1,4
53893107,3228,2340,35,530,323,214,604,894,820,290,201,205
53893109,1322,1046,6,180,90,56,298,581,293,43,29,22
53893110,409,284,3,84,38,29,89,123,102,41,7,18
53893111,804,581,5,146,72,62,179,276,197,51,26,13
1274000,0,0,0,0,0,0,0,0,0,0,0,0
50009701,19,13,0,4,2,2,3,3,9,1,0,1
50009702,815,559,1,149,106,76,215,211,145,67,45,56
50009703,74,39,1,23,11,4,17,25,21,3,2,2
50009704,3540,2362,12,724,442,238,1111,823,619,265,194,290
50009705,2034,1341,12,410,271,154,664,520,357,173,89,77
50009706,41,32,0,4,5,13,9,5,3,6,1,4
50009707,33,18,1,5,9,1,8,11,7,1,3,2
50009708,1619,1160,7,309,143,99,409,419,336,141,105,110
50009709,3175,2189,12,658,316,191,987,790,636,230,166,175
50009710,1754,1273,6,288,187,117,459,456,312,178,97,135
50009711,2178,1382,14,513,269,156,665,555,375,154,119,154
50009712,645,459,5,122,59,46,243,260,66,18,6,6
50009713,3410,2149,18,773,470,297,1225,840,534,231,139,144
50009714,1406,1019,14,240,133,87,311,342,311,132,101,122
50009715,1328,937,4,239,148,151,398,295,232,108,53,91
50009716,2807,1745,12,614,436,298,1063,658,444,155,105,84
50009717,4428,2990,15,860,563,330,1536,1067,792,330,172,201
50009718,2465,1680,18,471,296,167,693,594,458,220,160,173
50009719,1223,848,6,225,144,76,469,353,176,60,38,51
50009720,1656,1153,8,320,175,107,365,438,354,147,103,142
50009721,1829,1233,5,372,219,133,582,397,354,134,98,131
50009722,2445,1526,16,579,324,173,783,616,434,155,125,159
50009723,2236,1388,16,534,298,148,728,510,377,174,125,174
50009724,2640,1777,20,550,293,176,854,564,501,184,136,225
