kod_nadzsj_d,Obyvatelstvo celkem,Obyvatelstvo celkem - muži,Obyvatelstvo celkem - ženy,Obyvatelstvo - státní občanství: Česká republika - celkem,Obyvatelstvo - státní občanství: Česká republika - muži,Obyvatelstvo - státní občanství: Česká republika - ženy,Obyvatelstvo - státní občanství: Slovenská republika - celkem,Obyvatelstvo - státní občanství: Slovenská republika - muži,Obyvatelstvo - státní občanství: Slovenská  republika - ženy,Obyvatelstvo - státní občanství: země EU mimo ČR - celkem,Obyvatelstvo - státní občanství: země EU mimo ČR - muži,Obyvatelstvo - státní občanství: země EU mimo ČR - ženy,Obyvatelstvo - bez státního občanství - celkem,Obyvatelstvo - bez státního občanství - muži,Obyvatelstvo - bez státního občanství - ženy,Obyvatelstvo - státní občanství: nezjištěno - celkem,Obyvatelstvo - státní občanství: nezjištěno - muži,Obyvatelstvo - státní občanství: nezjištěno - ženy
55097304,633,314,319,549,264,285,18,4,14,38,17,21,0,0,0,5,3,2
55097305,3182,1514,1668,2795,1283,1512,92,52,40,139,87,52,1,1,0,47,30,17
55097307,2658,1287,1371,2275,1079,1196,98,48,50,135,72,63,0,0,0,63,30,33
55097308,8289,5446,2843,7684,5079,2605,105,60,45,176,116,60,0,0,0,71,43,28
55097309,1666,806,860,1468,705,763,41,21,20,65,34,31,0,0,0,14,7,7
55097310,1324,686,638,1150,590,560,33,16,17,62,34,28,0,0,0,44,21,23
55097311,521,256,265,467,230,237,6,3,3,10,6,4,0,0,0,4,4,0
55097312,39,21,18,34,20,14,1,0,1,1,0,1,0,0,0,1,0,1
55097313,2409,1148,1261,2145,1005,1140,57,32,25,99,59,40,1,1,0,39,14,25
55097314,40,32,8,23,19,4,1,1,0,3,3,0,0,0,0,1,0,1
55097315,3475,1678,1797,3157,1504,1653,71,31,40,102,52,50,0,0,0,39,18,21
55097316,1889,955,934,1698,852,846,33,18,15,63,37,26,0,0,0,26,14,12
55097317,813,404,409,705,339,366,22,10,12,36,17,19,0,0,0,10,8,2
55097319,115,55,60,97,42,55,4,4,0,7,6,1,0,0,0,2,2,0
55097320,661,311,350,591,272,319,25,11,14,29,15,14,0,0,0,10,8,2
55097321,112,52,60,111,52,59,1,0,1,1,0,1,0,0,0,0,0,0
55097323,450,206,244,431,199,232,0,0,0,3,1,2,0,0,0,1,1,0
55097324,604,296,308,275,137,138,18,7,11,24,12,12,0,0,0,99,42,57
55097325,1778,854,924,1651,784,867,17,10,7,37,21,16,0,0,0,53,26,27
55097326,1161,565,596,1094,533,561,12,3,9,19,7,12,0,0,0,7,4,3
55097327,1613,772,841,1511,715,796,16,9,7,34,22,12,0,0,0,13,7,6
55097328,30,18,12,27,15,12,0,0,0,0,0,0,0,0,0,0,0,0
55097329,3465,1694,1771,3139,1502,1637,81,42,39,106,59,47,0,0,0,59,35,24
