,aic
100,41.24210504307343
300,41.187493035818505
500,41.159147621780384
700,41.14430603844975
900,41.13562945368631
1100,41.12730270902573
1300,41.1218876105267
1500,41.1162343164129
1700,41.11573808939779
1900,41.11399440828305
2100,41.112193674831346
2300,41.113364707307205
2500,41.1122927373099
2700,41.11036561841392
2900,41.11067569487138
3100,41.10909310135161
3300,41.109310083857814
3500,41.10811533623447
