,aic
100,41.435352119633336
300,41.37008898876906
500,41.31621139239053
700,41.289245577641516
900,41.26367291694543
1100,41.25208838200524
1300,41.254757985055555
1500,41.23831785075776
1700,41.25205186987479
1900,41.26299555212394
2100,41.265973191892726
2300,41.274193172283155
2500,41.27337459879259
2700,41.26094038552938
2900,41.265598583955416
3100,41.26687559839033
3300,41.27932202241205
3500,41.26896370189118
