,aic
100,59.253669398580925
300,59.02905321526842
500,58.93655753209569
700,58.90831605873834
900,inf
1100,inf
1300,inf
1500,inf
1700,inf
1900,inf
2100,inf
2300,inf
2500,inf
2700,inf
2900,inf
3100,inf
3300,inf
3500,inf
