,aic
100,59.770470397278416
300,59.841366237983515
500,59.69440232748421
700,59.61785425947838
900,59.569637117219784
1100,59.49789610348863
1300,59.46292453232224
1500,59.44251701560717
1700,59.42293989575379
1900,59.40929019661927
2100,59.40571019638076
2300,59.39986850067524
2500,59.389790904090844
2700,59.37954241455081
2900,59.38718476055921
3100,59.40573088987
3300,59.39974058571873
3500,59.397278970005274
