,aic
100,71.81657718003588
300,71.76847772906184
500,71.65655681991026
700,71.5213608052676
900,71.4895007447462
1100,71.41729528419538
1300,71.40605573329125
1500,71.34834637878883
1700,71.34961931990273
1900,71.41597649455791
2100,71.39524275687687
2300,71.36374414166157
2500,71.33967502496697
2700,71.32173183379346
2900,71.30469529802795
3100,71.28925611535098
3300,71.29617143607277
3500,71.2917408218582
