,aic
100,71.92078447473018
300,71.94799792061735
500,71.89877107018782
700,71.7959436547721
900,71.7120101763253
1100,71.66993147621908
1300,71.5557012906327
1500,71.52388863002152
1700,71.50712478701146
1900,71.50101384754451
2100,71.48902347082985
2300,71.46092089691732
2500,71.46741119632331
2700,71.4556818527819
2900,71.44665687207375
3100,71.46171604429655
3300,71.44826655754058
3500,71.43697451578319
