,aic
100,39.13997272557885
300,38.915043135485085
500,38.88991202269099
700,38.92060915129034
900,inf
1100,inf
1300,inf
1500,inf
1700,inf
1900,inf
2100,inf
2300,inf
2500,inf
2700,inf
2900,inf
3100,inf
3300,inf
3500,inf
