,aic
100,39.55601451879947
300,39.510469631279705
500,39.42037701235256
700,39.396060253160215
900,39.37136013638349
1100,39.35570868278673
1300,39.349609855294894
1500,39.3172176742677
1700,39.306150976555074
1900,39.31642926078778
2100,39.3045761787398
2300,39.30023378226552
2500,39.23436190113066
2700,39.23458656928835
2900,39.23887516256954
3100,39.23446014331991
3300,39.24518788001143
3500,39.2564378764422
