,aic
100,59.504642886559374
300,59.58016653322437
500,59.415430538533485
700,59.41944041196968
900,59.41569899239504
1100,59.418114516666364
1300,59.40849773500435
1500,59.421593103875075
1700,59.43135857698206
1900,59.438900571110565
2100,59.45153980752107
2300,59.488679877155924
2500,59.46555436064903
2700,59.49410400936304
2900,59.473938430706404
3100,59.486785386122286
3300,59.47472806851354
3500,59.4194577243452
